text,sentiment
Trời mưa khiến lòng mình buồn theo,negative
Dịch bệnh hoành hành khiến mình mất việc,negative
Vì đau chân nên mình phải từ bỏ sân cỏ,negative
Thật là một bộ phim xuất sắc,positive
Vô cùng vinh hạnh khi được tham dự lớp học này,positive
Dịch bệnh kéo dài lâu quá,negative
Trông cậu đáng yêu thật đấy,positive
Lòng vui sướng khi đạt học bổng học kì này,positive
Mưa nhiều nên quê mình mất mùa,negative
Đau lòng khi nghe mưa bão về,negative
Thật vui vì trở thành nân viên xuất sắc,positive