Timestamp,n-transactions
2009-01-17 00:00:00,109
2009-01-20 00:00:00,115
2009-01-23 00:00:00,86
2009-01-26 00:00:00,97
2009-01-29 00:00:00,122
2009-02-01 00:00:00,114
2009-02-04 00:00:00,119
2009-02-07 00:00:00,133
2009-02-10 00:00:00,120
2009-02-13 00:00:00,124
2009-02-16 00:00:00,123
2009-02-19 00:00:00,125
2009-02-22 00:00:00,125
2009-02-25 00:00:00,105
2009-02-28 00:00:00,100
2009-03-03 00:00:00,107
2009-03-06 00:00:00,117
2009-03-09 00:00:00,108
2009-03-12 00:00:00,119
2009-03-15 00:00:00,123
2009-03-18 00:00:00,116
2009-03-21 00:00:00,51
2009-03-24 00:00:00,105
2009-03-27 00:00:00,106
2009-03-30 00:00:00,120
2009-04-02 00:00:00,115
2009-04-05 00:00:00,132
2009-04-08 00:00:00,105
2009-04-11 00:00:00,121
2009-04-14 00:00:00,124
2009-04-17 00:00:00,112
2009-04-20 00:00:00,121
2009-04-23 00:00:00,75
2009-04-26 00:00:00,114
2009-04-29 00:00:00,129
2009-05-02 00:00:00,128
2009-05-05 00:00:00,136
2009-05-08 00:00:00,108
2009-05-11 00:00:00,121
2009-05-14 00:00:00,142
2009-05-17 00:00:00,127
2009-05-20 00:00:00,120
2009-05-23 00:00:00,31
2009-05-26 00:00:00,125
2009-05-29 00:00:00,107
2009-06-01 00:00:00,72
2009-06-04 00:00:00,65
2009-06-07 00:00:00,16
2009-06-10 00:00:00,82
2009-06-13 00:00:00,78
2009-06-16 00:00:00,71
2009-06-19 00:00:00,87
2009-06-22 00:00:00,77
2009-06-25 00:00:00,69
2009-06-28 00:00:00,47
2009-07-01 00:00:00,75
2009-07-04 00:00:00,89
2009-07-07 00:00:00,69
2009-07-10 00:00:00,81
2009-07-13 00:00:00,78
2009-07-16 00:00:00,71
2009-07-19 00:00:00,69
2009-07-22 00:00:00,61
2009-07-25 00:00:00,33
2009-07-28 00:00:00,41
2009-07-31 00:00:00,17
2009-08-03 00:00:00,12
2009-08-06 00:00:00,90
2009-08-09 00:00:00,101
2009-08-12 00:00:00,63
2009-08-15 00:00:00,26
2009-08-18 00:00:00,9
2009-08-21 00:00:00,13
2009-08-24 00:00:00,15
2009-08-27 00:00:00,29
2009-08-30 00:00:00,98
2009-09-02 00:00:00,65
2009-09-05 00:00:00,76
2009-09-08 00:00:00,69
2009-09-11 00:00:00,67
2009-09-14 00:00:00,74
2009-09-17 00:00:00,85
2009-09-20 00:00:00,78
2009-09-23 00:00:00,35
2009-09-26 00:00:00,100
2009-09-29 00:00:00,90
2009-10-02 00:00:00,73
2009-10-05 00:00:00,55
2009-10-08 00:00:00,70
2009-10-11 00:00:00,74
2009-10-14 00:00:00,69
2009-10-17 00:00:00,57
2009-10-20 00:00:00,96
2009-10-23 00:00:00,89
2009-10-26 00:00:00,71
2009-10-29 00:00:00,47
2009-11-01 00:00:00,25
2009-11-04 00:00:00,64
2009-11-07 00:00:00,69
2009-11-10 00:00:00,78
2009-11-13 00:00:00,83
2009-11-16 00:00:00,97
2009-11-19 00:00:00,72
2009-11-22 00:00:00,106
2009-11-25 00:00:00,90
2009-11-28 00:00:00,71
2009-12-01 00:00:00,74
2009-12-04 00:00:00,36
2009-12-07 00:00:00,112
2009-12-10 00:00:00,104
2009-12-13 00:00:00,114
2009-12-16 00:00:00,137
2009-12-19 00:00:00,199
2009-12-22 00:00:00,162
2009-12-25 00:00:00,150
2009-12-28 00:00:00,137
2009-12-31 00:00:00,138
2010-01-03 00:00:00,186
2010-01-06 00:00:00,163
2010-01-09 00:00:00,151
2010-01-12 00:00:00,161
2010-01-15 00:00:00,142
2010-01-18 00:00:00,126
2010-01-21 00:00:00,184
2010-01-24 00:00:00,155
2010-01-27 00:00:00,166
2010-01-30 00:00:00,214
2010-02-02 00:00:00,146
2010-02-05 00:00:00,227
2010-02-08 00:00:00,208
2010-02-11 00:00:00,174
2010-02-14 00:00:00,219
2010-02-17 00:00:00,250
2010-02-20 00:00:00,210
2010-02-23 00:00:00,251
2010-02-26 00:00:00,176
2010-03-01 00:00:00,199
2010-03-04 00:00:00,188
2010-03-07 00:00:00,183
2010-03-10 00:00:00,169
2010-03-13 00:00:00,154
2010-03-16 00:00:00,129
2010-03-19 00:00:00,162
2010-03-22 00:00:00,186
2010-03-25 00:00:00,202
2010-03-28 00:00:00,192
2010-03-31 00:00:00,214
2010-04-03 00:00:00,166
2010-04-06 00:00:00,174
2010-04-09 00:00:00,224
2010-04-12 00:00:00,247
2010-04-15 00:00:00,290
2010-04-18 00:00:00,3351
2010-04-21 00:00:00,251
2010-04-24 00:00:00,202
2010-04-27 00:00:00,233
2010-04-30 00:00:00,170
2010-05-03 00:00:00,188
2010-05-06 00:00:00,177
2010-05-09 00:00:00,183
2010-05-12 00:00:00,158
2010-05-15 00:00:00,113
2010-05-18 00:00:00,223
2010-05-21 00:00:00,235
2010-05-24 00:00:00,250
2010-05-27 00:00:00,267
2010-05-30 00:00:00,200
2010-06-02 00:00:00,194
2010-06-05 00:00:00,190
2010-06-08 00:00:00,223
2010-06-11 00:00:00,247
2010-06-14 00:00:00,258
2010-06-17 00:00:00,204
2010-06-20 00:00:00,228
2010-06-23 00:00:00,257
2010-06-26 00:00:00,201
2010-06-29 00:00:00,264
2010-07-02 00:00:00,242
2010-07-05 00:00:00,251
2010-07-08 00:00:00,223
2010-07-11 00:00:00,353
2010-07-14 00:00:00,6132
2010-07-17 00:00:00,408
2010-07-20 00:00:00,594
2010-07-23 00:00:00,411
2010-07-26 00:00:00,467
2010-07-29 00:00:00,1867
2010-08-01 00:00:00,364
2010-08-04 00:00:00,439
2010-08-07 00:00:00,273
2010-08-10 00:00:00,340
2010-08-13 00:00:00,516
2010-08-16 00:00:00,453
2010-08-19 00:00:00,325
2010-08-22 00:00:00,366
2010-08-25 00:00:00,365
2010-08-28 00:00:00,339
2010-08-31 00:00:00,441
2010-09-03 00:00:00,319
2010-09-06 00:00:00,278
2010-09-09 00:00:00,324
2010-09-12 00:00:00,379
2010-09-15 00:00:00,430
2010-09-18 00:00:00,399
2010-09-21 00:00:00,810
2010-09-24 00:00:00,501
2010-09-27 00:00:00,603
2010-09-30 00:00:00,365
2010-10-03 00:00:00,377
2010-10-06 00:00:00,407
2010-10-09 00:00:00,401
2010-10-12 00:00:00,352
2010-10-15 00:00:00,328
2010-10-18 00:00:00,579
2010-10-21 00:00:00,552
2010-10-24 00:00:00,552
2010-10-27 00:00:00,568
2010-10-30 00:00:00,426
2010-11-02 00:00:00,286
2010-11-05 00:00:00,442
2010-11-08 00:00:00,515
2010-11-11 00:00:00,395
2010-11-14 00:00:00,416
2010-11-17 00:00:00,435
2010-11-20 00:00:00,9731
2010-11-23 00:00:00,341
2010-11-26 00:00:00,1314
2010-11-29 00:00:00,454
2010-12-02 00:00:00,460
2010-12-05 00:00:00,434
2010-12-08 00:00:00,523
2010-12-11 00:00:00,550
2010-12-14 00:00:00,637
2010-12-17 00:00:00,462
2010-12-20 00:00:00,932
2010-12-23 00:00:00,519
2010-12-26 00:00:00,584
2010-12-29 00:00:00,513
2011-01-01 00:00:00,659
2011-01-04 00:00:00,979
2011-01-07 00:00:00,1020
2011-01-10 00:00:00,1312
2011-01-13 00:00:00,1266
2011-01-16 00:00:00,931
2011-01-19 00:00:00,917
2011-01-22 00:00:00,1422
2011-01-25 00:00:00,889
2011-01-28 00:00:00,1081
2011-01-31 00:00:00,1393
2011-02-03 00:00:00,789
2011-02-06 00:00:00,909
2011-02-09 00:00:00,1227
2011-02-12 00:00:00,1912
2011-02-15 00:00:00,2224
2011-02-18 00:00:00,2056
2011-02-21 00:00:00,1970
2011-02-24 00:00:00,2109
2011-02-27 00:00:00,2269
2011-03-02 00:00:00,2009
2011-03-05 00:00:00,2048
2011-03-08 00:00:00,2440
2011-03-11 00:00:00,1884
2011-03-14 00:00:00,2643
2011-03-17 00:00:00,3367
2011-03-20 00:00:00,4076
2011-03-23 00:00:00,4570
2011-03-26 00:00:00,3335
2011-03-29 00:00:00,2718
2011-04-01 00:00:00,1579
2011-04-04 00:00:00,2309
2011-04-07 00:00:00,1677
2011-04-10 00:00:00,1744
2011-04-13 00:00:00,2371
2011-04-16 00:00:00,2154
2011-04-19 00:00:00,3598
2011-04-22 00:00:00,2097
2011-04-25 00:00:00,2592
2011-04-28 00:00:00,3035
2011-05-01 00:00:00,3949
2011-05-04 00:00:00,2800
2011-05-07 00:00:00,3887
2011-05-10 00:00:00,3151
2011-05-13 00:00:00,4064
2011-05-16 00:00:00,4349
2011-05-19 00:00:00,4663
2011-05-22 00:00:00,5282
2011-05-25 00:00:00,6258
2011-05-28 00:00:00,5013
2011-05-31 00:00:00,6063
2011-06-03 00:00:00,8441
2011-06-06 00:00:00,9703
2011-06-09 00:00:00,12176
2011-06-12 00:00:00,12440
2011-06-15 00:00:00,12605
2011-06-18 00:00:00,11563
2011-06-21 00:00:00,9704
2011-06-24 00:00:00,10922
2011-06-27 00:00:00,11751
2011-06-30 00:00:00,9636
2011-07-03 00:00:00,8364
2011-07-06 00:00:00,10519
2011-07-09 00:00:00,7851
2011-07-12 00:00:00,8147
2011-07-15 00:00:00,8148
2011-07-18 00:00:00,8976
2011-07-21 00:00:00,8163
2011-07-24 00:00:00,8219
2011-07-27 00:00:00,7995
2011-07-30 00:00:00,6209
2011-08-02 00:00:00,8817
2011-08-05 00:00:00,7360
2011-08-08 00:00:00,7267
2011-08-11 00:00:00,7596
2011-08-14 00:00:00,7471
2011-08-17 00:00:00,7722
2011-08-20 00:00:00,7191
2011-08-23 00:00:00,7277
2011-08-26 00:00:00,7421
2011-08-29 00:00:00,8094
2011-09-01 00:00:00,7203
2011-09-04 00:00:00,7258
2011-09-07 00:00:00,7090
2011-09-10 00:00:00,5993
2011-09-13 00:00:00,6519
2011-09-16 00:00:00,6209
2011-09-19 00:00:00,6653
2011-09-22 00:00:00,6139
2011-09-25 00:00:00,5722
2011-09-28 00:00:00,6017
2011-10-01 00:00:00,5374
2011-10-04 00:00:00,5809
2011-10-07 00:00:00,5674
2011-10-10 00:00:00,5882
2011-10-13 00:00:00,4984
2011-10-16 00:00:00,4981
2011-10-19 00:00:00,5130
2011-10-22 00:00:00,5114
2011-10-25 00:00:00,5226
2011-10-28 00:00:00,5118
2011-10-31 00:00:00,5182
2011-11-03 00:00:00,6253
2011-11-06 00:00:00,5034
2011-11-09 00:00:00,6448
2011-11-12 00:00:00,5487
2011-11-15 00:00:00,6106
2011-11-18 00:00:00,5169
2011-11-21 00:00:00,4770
2011-11-24 00:00:00,5018
2011-11-27 00:00:00,5061
2011-11-30 00:00:00,6840
2011-12-03 00:00:00,5631
2011-12-06 00:00:00,7978
2011-12-09 00:00:00,5588
2011-12-12 00:00:00,4862
2011-12-15 00:00:00,4850
2011-12-18 00:00:00,4632
2011-12-21 00:00:00,5577
2011-12-24 00:00:00,4658
2011-12-27 00:00:00,5211
2011-12-30 00:00:00,5051
2012-01-02 00:00:00,5410
2012-01-05 00:00:00,6994
2012-01-08 00:00:00,6404
2012-01-11 00:00:00,7139
2012-01-14 00:00:00,6807
2012-01-17 00:00:00,6761
2012-01-20 00:00:00,6780
2012-01-23 00:00:00,6100
2012-01-26 00:00:00,6598
2012-01-29 00:00:00,6426
2012-02-01 00:00:00,6502
2012-02-04 00:00:00,7237
2012-02-07 00:00:00,7012
2012-02-10 00:00:00,8456
2012-02-13 00:00:00,7992
2012-02-16 00:00:00,9537
2012-02-19 00:00:00,5958
2012-02-22 00:00:00,7194
2012-02-25 00:00:00,6306
2012-02-28 00:00:00,6725
2012-03-02 00:00:00,7645
2012-03-05 00:00:00,6979
2012-03-08 00:00:00,6637
2012-03-11 00:00:00,5223
2012-03-14 00:00:00,6895
2012-03-17 00:00:00,6876
2012-03-20 00:00:00,6834
2012-03-23 00:00:00,6156
2012-03-26 00:00:00,6619
2012-03-29 00:00:00,7518
2012-04-01 00:00:00,5563
2012-04-04 00:00:00,7143
2012-04-07 00:00:00,6080
2012-04-10 00:00:00,8468
2012-04-13 00:00:00,7223
2012-04-16 00:00:00,8577
2012-04-19 00:00:00,7900
2012-04-22 00:00:00,6354
2012-04-25 00:00:00,7557
2012-04-28 00:00:00,7427
2012-05-01 00:00:00,10208
2012-05-04 00:00:00,14098
2012-05-07 00:00:00,18247
2012-05-10 00:00:00,11782
2012-05-13 00:00:00,14737
2012-05-16 00:00:00,18078
2012-05-19 00:00:00,35404
2012-05-22 00:00:00,23480
2012-05-25 00:00:00,28999
2012-05-28 00:00:00,29888
2012-05-31 00:00:00,21013
2012-06-03 00:00:00,33601
2012-06-06 00:00:00,15937
2012-06-09 00:00:00,33050
2012-06-12 00:00:00,18243
2012-06-15 00:00:00,54986
2012-06-18 00:00:00,39071
2012-06-21 00:00:00,26782
2012-06-24 00:00:00,22392
2012-06-27 00:00:00,30875
2012-06-30 00:00:00,22618
2012-07-03 00:00:00,22667
2012-07-06 00:00:00,23916
2012-07-09 00:00:00,25129
2012-07-12 00:00:00,24303
2012-07-15 00:00:00,26345
2012-07-18 00:00:00,32588
2012-07-21 00:00:00,34593
2012-07-24 00:00:00,28369
2012-07-27 00:00:00,27155
2012-07-30 00:00:00,34395
2012-08-02 00:00:00,33211
2012-08-05 00:00:00,33283
2012-08-08 00:00:00,40168
2012-08-11 00:00:00,33139
2012-08-14 00:00:00,34506
2012-08-17 00:00:00,40554
2012-08-20 00:00:00,35837
2012-08-23 00:00:00,31818
2012-08-26 00:00:00,29520
2012-08-29 00:00:00,34209
2012-09-01 00:00:00,40774
2012-09-04 00:00:00,39946
2012-09-07 00:00:00,33483
2012-09-10 00:00:00,33632
2012-09-13 00:00:00,29025
2012-09-16 00:00:00,28415
2012-09-19 00:00:00,32231
2012-09-22 00:00:00,22014
2012-09-25 00:00:00,24177
2012-09-28 00:00:00,32768
2012-10-01 00:00:00,24727
2012-10-04 00:00:00,31955
2012-10-07 00:00:00,34726
2012-10-10 00:00:00,31226
2012-10-13 00:00:00,33090
2012-10-16 00:00:00,34533
2012-10-19 00:00:00,25096
2012-10-22 00:00:00,43154
2012-10-25 00:00:00,26998
2012-10-28 00:00:00,17965
2012-10-31 00:00:00,27444
2012-11-03 00:00:00,23899
2012-11-06 00:00:00,31986
2012-11-09 00:00:00,25157
2012-11-12 00:00:00,23903
2012-11-15 00:00:00,37604
2012-11-18 00:00:00,34136
2012-11-21 00:00:00,39066
2012-11-24 00:00:00,29718
2012-11-27 00:00:00,27632
2012-11-30 00:00:00,29758
2012-12-03 00:00:00,21659
2012-12-06 00:00:00,37163
2012-12-09 00:00:00,32059
2012-12-12 00:00:00,36736
2012-12-15 00:00:00,32365
2012-12-18 00:00:00,49812
2012-12-21 00:00:00,44580
2012-12-24 00:00:00,36111
2012-12-27 00:00:00,43787
2012-12-30 00:00:00,45447
2013-01-02 00:00:00,39433
2013-01-05 00:00:00,39596
2013-01-08 00:00:00,38624
2013-01-11 00:00:00,52749
2013-01-14 00:00:00,44560
2013-01-17 00:00:00,48100
2013-01-20 00:00:00,41371
2013-01-23 00:00:00,46678
2013-01-26 00:00:00,52366
2013-01-29 00:00:00,51703
2013-02-01 00:00:00,59382
2013-02-04 00:00:00,55005
2013-02-07 00:00:00,61237
2013-02-10 00:00:00,56443
2013-02-13 00:00:00,59090
2013-02-16 00:00:00,51433
2013-02-19 00:00:00,54519
2013-02-22 00:00:00,62171
2013-02-25 00:00:00,67144
2013-02-28 00:00:00,63021
2013-03-03 00:00:00,54459
2013-03-06 00:00:00,62760
2013-03-09 00:00:00,55546
2013-03-12 00:00:00,48484
2013-03-15 00:00:00,62776
2013-03-18 00:00:00,43485
2013-03-21 00:00:00,55564
2013-03-24 00:00:00,51335
2013-03-27 00:00:00,53207
2013-03-30 00:00:00,59196
2013-04-02 00:00:00,63276
2013-04-05 00:00:00,61373
2013-04-08 00:00:00,61680
2013-04-11 00:00:00,68407
2013-04-14 00:00:00,55471
2013-04-17 00:00:00,56706
2013-04-20 00:00:00,48302
2013-04-23 00:00:00,61668
2013-04-26 00:00:00,55264
2013-04-29 00:00:00,51776
2013-05-02 00:00:00,55429
2013-05-05 00:00:00,50332
2013-05-08 00:00:00,50439
2013-05-11 00:00:00,73402
2013-05-14 00:00:00,66470
2013-05-17 00:00:00,58731
2013-05-20 00:00:00,48821
2013-05-23 00:00:00,59789
2013-05-26 00:00:00,40722
2013-05-29 00:00:00,55060
2013-06-01 00:00:00,54311
2013-06-04 00:00:00,57622
2013-06-07 00:00:00,52188
2013-06-10 00:00:00,45000
2013-06-13 00:00:00,43193
2013-06-16 00:00:00,42966
2013-06-19 00:00:00,47031
2013-06-22 00:00:00,44594
2013-06-25 00:00:00,44629
2013-06-28 00:00:00,49552
2013-07-01 00:00:00,39128
2013-07-04 00:00:00,35292
2013-07-07 00:00:00,30356
2013-07-10 00:00:00,39238
2013-07-13 00:00:00,37970
2013-07-16 00:00:00,39392
2013-07-19 00:00:00,36759
2013-07-22 00:00:00,39979
2013-07-25 00:00:00,42530
2013-07-28 00:00:00,37302
2013-07-31 00:00:00,49524
2013-08-03 00:00:00,45746
2013-08-06 00:00:00,54369
2013-08-09 00:00:00,49658
2013-08-12 00:00:00,50228
2013-08-15 00:00:00,58129
2013-08-18 00:00:00,56397
2013-08-21 00:00:00,60531
2013-08-24 00:00:00,51817
2013-08-27 00:00:00,62187
2013-08-30 00:00:00,62603
2013-09-02 00:00:00,51266
2013-09-05 00:00:00,60730
2013-09-08 00:00:00,46452
2013-09-11 00:00:00,49210
2013-09-14 00:00:00,43560
2013-09-17 00:00:00,67931
2013-09-20 00:00:00,58994
2013-09-23 00:00:00,65328
2013-09-26 00:00:00,57545
2013-09-29 00:00:00,41181
2013-10-02 00:00:00,61964
2013-10-05 00:00:00,45479
2013-10-08 00:00:00,45461
2013-10-11 00:00:00,51922
2013-10-14 00:00:00,57452
2013-10-17 00:00:00,46870
2013-10-20 00:00:00,49418
2013-10-23 00:00:00,55314
2013-10-26 00:00:00,47747
2013-10-29 00:00:00,49930
2013-11-01 00:00:00,45371
2013-11-04 00:00:00,45523
2013-11-07 00:00:00,60535
2013-11-10 00:00:00,57538
2013-11-13 00:00:00,64870
2013-11-16 00:00:00,47175
2013-11-19 00:00:00,92907
2013-11-22 00:00:00,76947
2013-11-25 00:00:00,71793
2013-11-28 00:00:00,98921
2013-12-01 00:00:00,73442
2013-12-04 00:00:00,79624
2013-12-07 00:00:00,67712
2013-12-10 00:00:00,67623
2013-12-13 00:00:00,60059
2013-12-16 00:00:00,69382
2013-12-19 00:00:00,70278
2013-12-22 00:00:00,52897
2013-12-25 00:00:00,55428
2013-12-28 00:00:00,48009
2013-12-31 00:00:00,48847
2014-01-03 00:00:00,60980
2014-01-06 00:00:00,67358
2014-01-09 00:00:00,59031
2014-01-12 00:00:00,50537
2014-01-15 00:00:00,61612
2014-01-18 00:00:00,51573
2014-01-21 00:00:00,72577
2014-01-24 00:00:00,65600
2014-01-27 00:00:00,64374
2014-01-30 00:00:00,60799
2014-02-02 00:00:00,52483
2014-02-05 00:00:00,67529
2014-02-08 00:00:00,65009
2014-02-11 00:00:00,67229
2014-02-14 00:00:00,74889
2014-02-17 00:00:00,60853
2014-02-20 00:00:00,71144
2014-02-23 00:00:00,60198
2014-02-26 00:00:00,71897
2014-03-01 00:00:00,63402
2014-03-04 00:00:00,84600
2014-03-07 00:00:00,72345
2014-03-10 00:00:00,70884
2014-03-13 00:00:00,72805
2014-03-16 00:00:00,59332
2014-03-19 00:00:00,73804
2014-03-22 00:00:00,66673
2014-03-25 00:00:00,71883
2014-03-28 00:00:00,67079
2014-03-31 00:00:00,65448
2014-04-03 00:00:00,67075
2014-04-06 00:00:00,50010
2014-04-09 00:00:00,65153
2014-04-12 00:00:00,47740
2014-04-15 00:00:00,72809
2014-04-18 00:00:00,56996
2014-04-21 00:00:00,58110
2014-04-24 00:00:00,72694
2014-04-27 00:00:00,52629
2014-04-30 00:00:00,63657
2014-05-03 00:00:00,54157
2014-05-06 00:00:00,77228
2014-05-09 00:00:00,66293
2014-05-12 00:00:00,74418
2014-05-15 00:00:00,74893
2014-05-18 00:00:00,49912
2014-05-21 00:00:00,68905
2014-05-24 00:00:00,52872
2014-05-27 00:00:00,68524
2014-05-30 00:00:00,65127
2014-06-02 00:00:00,64434
2014-06-05 00:00:00,66945
2014-06-08 00:00:00,48308
2014-06-11 00:00:00,62827
2014-06-14 00:00:00,53596
2014-06-17 00:00:00,70077
2014-06-20 00:00:00,57381
2014-06-23 00:00:00,60216
2014-06-26 00:00:00,61432
2014-06-29 00:00:00,49922
2014-07-02 00:00:00,66728
2014-07-05 00:00:00,49954
2014-07-08 00:00:00,70117
2014-07-11 00:00:00,59077
2014-07-14 00:00:00,62761
2014-07-17 00:00:00,66233
2014-07-20 00:00:00,52001
2014-07-23 00:00:00,66883
2014-07-26 00:00:00,56333
2014-07-29 00:00:00,61607
2014-08-01 00:00:00,67915
2014-08-04 00:00:00,67847
2014-08-07 00:00:00,69913
2014-08-10 00:00:00,57913
2014-08-13 00:00:00,75738
2014-08-16 00:00:00,67974
2014-08-19 00:00:00,74740
2014-08-22 00:00:00,66998
2014-08-25 00:00:00,69894
2014-08-28 00:00:00,68628
2014-08-31 00:00:00,57755
2014-09-03 00:00:00,71868
2014-09-06 00:00:00,63369
2014-09-09 00:00:00,81812
2014-09-12 00:00:00,68384
2014-09-15 00:00:00,78666
2014-09-18 00:00:00,77364
2014-09-21 00:00:00,59800
2014-09-24 00:00:00,74974
2014-09-27 00:00:00,62973
2014-09-30 00:00:00,78006
2014-10-03 00:00:00,75121
2014-10-06 00:00:00,78049
2014-10-09 00:00:00,82789
2014-10-12 00:00:00,63509
2014-10-15 00:00:00,76257
2014-10-18 00:00:00,66477
2014-10-21 00:00:00,81651
2014-10-24 00:00:00,77906
2014-10-27 00:00:00,83977
2014-10-30 00:00:00,92622
2014-11-02 00:00:00,77170
2014-11-05 00:00:00,89460
2014-11-08 00:00:00,72717
2014-11-11 00:00:00,85618
2014-11-14 00:00:00,86307
2014-11-17 00:00:00,88354
2014-11-20 00:00:00,89388
2014-11-23 00:00:00,77283
2014-11-26 00:00:00,85111
2014-11-29 00:00:00,79098
2014-12-02 00:00:00,99419
2014-12-05 00:00:00,90900
2014-12-08 00:00:00,90746
2014-12-11 00:00:00,84005
2014-12-14 00:00:00,79703
2014-12-17 00:00:00,98444
2014-12-20 00:00:00,86901
2014-12-23 00:00:00,99469
2014-12-26 00:00:00,76198
2014-12-29 00:00:00,83447
2015-01-01 00:00:00,59344
2015-01-04 00:00:00,85694
2015-01-07 00:00:00,89916
2015-01-10 00:00:00,104874
2015-01-13 00:00:00,102309
2015-01-16 00:00:00,104699
2015-01-19 00:00:00,98485
2015-01-22 00:00:00,93698
2015-01-25 00:00:00,86558
2015-01-28 00:00:00,85232
2015-01-31 00:00:00,86312
